userid,items
836635,"[187494, 127879, 268530, 198637, 65346]"
892013,"[179013, 260257, 209659, 394883, 415818]"
247235,"[461190, 56441, 179601, 37197, 122231]"
885139,"[360610, 260415, 251086, 370921, 163606]"
371606,"[77733, 231482, 133001, 298830, 29940]"
101175,"[98374, 98374, 281717, 74634, 322717]"
645525,"[50385, 236927, 361591, 276762, 434116]"
1150086,"[424506, 97437, 428067, 137305, 396445]"
548772,"[29167, 148478, 261589, 149253, 11670]"
198270,"[119736, 357650, 140452, 143860, 252622]"
895999,"[179013, 279225, 46156, 2657, 19135]"
79627,"[390934, 257655, 51275, 195958, 37029]"
316850,"[424245, 76060, 380061, 380061, 32398]"
303381,"[105823, 348326, 29757, 63012, 122604]"
894747,"[155382, 155548, 80858, 37177, 128146]"
1144130,"[180763, 96001, 67438, 116624, 260579]"
1015599,"[312728, 237244, 155079, 109638, 75415]"
198153,"[312728, 345694, 267010, 51483, 51483]"
896066,"[272969, 312409, 424506, 44465, 453192]"
737053,"[167543, 41033, 199899, 199899, 315084]"
343137,"[281103, 325115, 206241, 40140, 212743]"
379932,"[318333, 375796, 79956, 65540, 119736]"
530559,"[225420, 214271, 284871, 373698, 32344]"
547852,"[460553, 259487, 430102, 92436, 69533]"
686854,"[384212, 29167, 170262, 115213, 335536]"
615132,"[461614, 363044, 363044, 267236, 9877]"
244756,"[121553, 350764, 37029, 117438, 121086]"
248679,"[416017, 342789, 340960, 98387, 345086]"
152963,"[372188, 461614, 289103, 345279, 45175]"
748040,"[276704, 97437, 457231, 402455, 417927]"
1093035,"[10384, 158460, 155050, 119736, 357583]"
1357083,"[360549, 35779, 546, 190777, 255725]"
38015,"[245168, 427641, 122604, 118914, 125660]"
757355,"[424506, 35488, 346971, 85334, 79955]"
1165148,"[211579, 348326, 17478, 97890, 223162]"
763141,"[460553, 162139, 268883, 441751, 46232]"
896347,"[283923, 367207, 367207, 326456, 326456]"
695164,"[117768, 240469, 55544, 211876, 146123]"
286616,"[268061, 52941, 213695, 430292, 448601]"
468309,"[69533, 197083, 261673, 157981, 92668]"
1126569,"[289103, 268755, 190536, 411934, 238822]"
1161163,"[240900, 454640, 204023, 151061, 379013]"
1356496,"[348053, 464385, 31611, 187405, 445238]"
163561,"[14932, 277139, 43526, 41422, 243376]"
310759,"[414388, 302321, 376974, 56323, 130865]"
994820,"[69507, 335814, 181680, 114786, 329244]"
638482,"[312728, 17478, 51969, 174185, 207865]"
524146,"[154385, 362339, 33877, 466736, 71488]"
76757,"[55364, 144704, 328298, 443914, 281854]"
1143383,"[124351, 218626, 113233, 226940, 226940]"
73449,"[224405, 369158, 213695, 318941, 11670]"
1015139,"[369933, 51969, 44465, 465522, 465522]"
485689,"[36166, 206241, 78523, 78523, 37029]"
1138391,"[332610, 311405, 352230, 273872, 134858]"
416496,"[156552, 352788, 377810, 339703, 17218]"
686012,"[69533, 69533, 396853, 396853, 417594]"
861299,"[324462, 16307, 122604, 20416, 418366]"
1000306,"[63543, 113615, 248455, 200530, 284312]"
1376763,"[314942, 76196, 100282, 100282, 73311]"
95405,"[148855, 463617, 381613, 128581, 285608]"
85734,"[408203, 140861, 144507, 148090, 314397]"
909859,"[311405, 301013, 337101, 359273, 239006]"
899857,"[50934, 430984, 348728, 267882, 308648]"
974226,"[151471, 402816, 409334, 147879, 358565]"
1330764,"[268755, 212589, 143418, 236814, 411280]"
173863,"[8786, 114814, 314990, 174489, 174489]"
404403,"[150215, 118199, 55706, 422425, 421606]"
582933,"[289103, 268883, 268883, 66480, 459149]"
227091,"[63899, 23762, 275559, 406601, 124193]"
175801,"[37029, 37029, 414654, 57275, 57275]"
971454,"[154077, 10516, 173847, 7943, 268604]"
1293358,"[277361, 22544, 234255, 209577, 107414]"
765630,"[376944, 118551, 407078, 160349, 192144]"
371604,"[270745, 279052, 11670, 11390, 232780]"
705542,"[458009, 393509, 147294, 7372, 444712]"
1035814,"[65838, 280939, 95808, 428002, 72715]"
519839,"[425359, 259501, 183068, 45365, 10107]"
1327144,"[179601, 231482, 355994, 104560, 252622]"
855728,"[360825, 283926, 198991, 444899, 293101]"
229157,"[113641, 19142, 116205, 217935, 191763]"
1403769,"[51275, 436034, 36810, 425758, 48030]"
171718,"[15358, 123448, 4067, 4067, 336405]"
1297062,"[104820, 280754, 377269, 73602, 322471]"
259405,"[335536, 361554, 250697, 458637, 175560]"
710338,"[450950, 340108, 365015, 232917, 66405]"
547506,"[444931, 300068, 132965, 407078, 124583]"
890980,"[157734, 372523, 98491, 99824, 424193]"
138131,"[14932, 174185, 362807, 52367, 222208]"
963348,"[162046, 66424, 414654, 264281, 224604]"
819370,"[259078, 425463, 147797, 30361, 370921]"
673572,"[428554, 64951, 61273, 288418, 273878]"
1357576,"[240900, 260481, 65091, 214517, 345844]"
213145,"[207546, 181227, 50443, 50443, 105601]"
591869,"[384506, 227781, 249823, 461325, 434814]"
233961,"[204023, 289298, 76815, 272770, 218576]"
518659,"[428891, 202611, 202611, 272770, 214461]"
53842,"[12404, 34093, 351307, 318333, 58059]"
425631,"[378403, 322508, 230086, 290370, 11667]"
1313381,"[155382, 265783, 374272, 374835, 374835]"
1347099,"[420960, 115805, 24292, 207825, 334520]"
527307,"[191581, 420960, 320970, 27994, 102915]"
1075423,"[385355, 359273, 399550, 399550, 115805]"
977753,"[154638, 266553, 343375, 291964, 196658]"
1323386,"[322171, 443185, 271951, 315543, 191239]"
825321,"[54008, 221900, 87915, 454640, 85579]"
569539,"[263245, 263245, 401529, 377981, 165282]"
361041,"[221561, 328476, 33139, 18841, 448690]"
796636,"[458945, 286508, 132221, 99545, 365447]"
1385073,"[63543, 417239, 77148, 142143, 204790]"
6170,"[181057, 209129, 446098, 65135, 346197]"
234164,"[320788, 262917, 216293, 36378, 376612]"
856874,"[403848, 63543, 29196, 46232, 415818]"
317355,"[243880, 278679, 337070, 346886, 1684]"
360921,"[378209, 260481, 1684, 3712, 365320]"
130999,"[51969, 12217, 420367, 192138, 230257]"
1039026,"[298740, 340279, 107314, 350871, 53317]"
9535,"[399069, 276494, 433625, 77955, 393978]"
409324,"[185677, 43239, 340960, 130709, 217425]"
389532,"[137697, 303695, 393691, 318392, 318392]"
388200,"[409334, 157743, 363044, 262297, 387697]"
1116948,"[43101, 35202, 35202, 156152, 156152]"
21395,"[312728, 135311, 136611, 335128, 51299]"
93504,"[421994, 459883, 82266, 218656, 352391]"
316600,"[369093, 408933, 272324, 109638, 184086]"
1236028,"[316239, 137697, 360033, 184412, 56323]"
218828,"[293311, 147684, 425758, 425758, 46156]"
1255456,"[119736, 337101, 337101, 22772, 316907]"
1255217,"[276622, 248262, 395596, 94121, 105371]"
1185234,"[22436, 156268, 14387, 347014, 122604]"
17676,"[119267, 236302, 174947, 196659, 125399]"
165052,"[188051, 304745, 186820, 298245, 183395]"
966491,"[8122, 398907, 66424, 66424, 294245]"
935325,"[87740, 450788, 313858, 372188, 136182]"
542702,"[355861, 161707, 161707, 348942, 85876]"
809822,"[346286, 9909, 465554, 192138, 421227]"
417312,"[239297, 279517, 118782, 402455, 62400]"
345276,"[14932, 355396, 211902, 211902, 278893]"
798002,"[417594, 243406, 242007, 295776, 173671]"
863219,"[4643, 119736, 119736, 400442, 342331]"
530033,"[80711, 337358, 218626, 119736, 291964]"
684514,"[234294, 334094, 371008, 465019, 204209]"
1119917,"[244027, 143860, 242905, 390689, 322717]"
917504,"[56782, 268335, 232780, 206930, 355994]"
996879,"[163829, 353111, 353111, 458637, 85334]"
1108631,"[415640, 234255, 66448, 119744, 21970]"
556819,"[361103, 253615, 391020, 155181, 234493]"
503857,"[460553, 224464, 244838, 244838, 372188]"
475479,"[437122, 239774, 17478, 308967, 422959]"
1879,"[29863, 417927, 450641, 337671, 223481]"
824842,"[56782, 274435, 198209, 222285, 443190]"
350566,"[353111, 211207, 200527, 251130, 241716]"
477826,"[248455, 248455, 223003, 230842, 230842]"
1202783,"[363044, 68532, 112467, 176323, 434282]"
358516,"[188353, 188353, 393978, 200854, 257070]"
1065255,"[44234, 28144, 221980, 441668, 377454]"
148927,"[445559, 228157, 224549, 372934, 398141]"
1336835,"[147684, 213834, 213834, 201563, 287557]"
1134975,"[253615, 303960, 420960, 78163, 312728]"
921225,"[29879, 460188, 339976, 427725, 61664]"
346597,"[426220, 255908, 427749, 349529, 133472]"
943801,"[273872, 449220, 367083, 133070, 152137]"
904351,"[281103, 362340, 73429, 437715, 77647]"
449194,"[434054, 117730, 329104, 100393, 110388]"
77390,"[138661, 122604, 41422, 277276, 132187]"
57905,"[128569, 267416, 342777, 138196, 12984]"
623304,"[131861, 211336, 443161, 70004, 350061]"
42552,"[236862, 349273, 412137, 295266, 150426]"
1341202,"[446934, 448413, 448413, 388624, 388624]"
565978,"[443647, 443647, 32164, 434116, 143931]"
152693,"[44890, 191852, 191852, 103952, 403848]"
1273306,"[228392, 445105, 286723, 296498, 167399]"
354785,"[257767, 325310, 124559, 290269, 23347]"
1240838,"[450726, 415062, 111530, 372845, 243980]"
478537,"[427964, 387956, 78729, 78729, 345373]"
1317249,"[258148, 79149, 285202, 82905, 390093]"
693709,"[18841, 18841, 393115, 288418, 248455]"
1109474,"[453432, 253615, 364328, 64026, 130815]"
968683,"[829, 331725, 130599, 444405, 217558]"
960773,"[37609, 291877, 73593, 354627, 107474]"
952246,"[167543, 400810, 390582, 418601, 84643]"
634327,"[417927, 89646, 409492, 127879, 381613]"
748562,"[334714, 75959, 286940, 151387, 151387]"
233979,"[245810, 442150, 281854, 242372, 364875]"
218648,"[121595, 444931, 248455, 446271, 305813]"
750601,"[272634, 71754, 71754, 100393, 456005]"
516261,"[230257, 268081, 271268, 428554, 405770]"
269127,"[346655, 26310, 26310, 256146, 277890]"
731398,"[167126, 246411, 16428, 142881, 407822]"
1296963,"[128569, 364371, 427147, 54558, 224353]"
841939,"[230911, 345136, 260005, 247240, 150730]"
550789,"[37029, 345743, 133907, 228979, 104261]"
1122038,"[433625, 329311, 122231, 328786, 131298]"
1336520,"[167610, 420367, 124581, 124581, 254285]"
1137090,"[81593, 266030, 424421, 246864, 405629]"
78724,"[428891, 46232, 284312, 29196, 91152]"
55389,"[439085, 204494, 58576, 357541, 417927]"
623174,"[78494, 325561, 123664, 199302, 238543]"
371257,"[400946, 134118, 177728, 372656, 151410]"
1197343,"[172733, 384605, 460607, 460607, 107175]"
625795,"[118024, 113641, 29037, 424506, 23762]"
643673,"[108993, 124523, 250761, 31098, 334366]"
546086,"[277247, 408203, 353548, 122231, 75959]"
1222911,"[445258, 117467, 392721, 143885, 39128]"
1094964,"[84947, 153504, 437571, 331311, 411253]"
478006,"[457539, 83639, 311043, 218648, 340717]"
934040,"[65633, 136766, 372188, 354345, 150376]"
761482,"[265775, 256146, 178290, 222328, 130599]"
